INFO:__main__:Create Student: 814747 - Dilshad, Abdulla, Anglia University. Dilshad-Abdulla@uni.edu
INFO:__main__:Create Student: 805321 - John, Kim, London University. John-Kim@uni.edu
INFO:__main__:Create Student: 866621 - Rachel, Doe, London University. Rachel-Doe@uni.edu
INFO:students_handler:Create Student: 814747 - Dilshad, Abdulla, Anglia University. Dilshad-Abdulla@uni.edu
INFO:students_handler:Create Student: 805321 - John, Kim, London University. John-Kim@uni.edu
INFO:students_handler:Create Student: 866621 - Rachel, Doe, London University. Rachel-Doe@uni.edu
INFO:students_handler:Create Student: 814747 - Dilshad, Abdulla, Anglia University. Dilshad-Abdulla@uni.edu
INFO:students_handler:Create Student: 805321 - John, Kim, London University. John-Kim@uni.edu
INFO:students_handler:Create Student: 866621 - Rachel, Doe, London University. Rachel-Doe@uni.edu
INFO:students_handler:Create Student: 814747 - Dilshad, Abdulla, Anglia University. Dilshad-Abdulla@uni.edu
INFO:students_handler:Create Student: 805321 - John, Kim, London University. John-Kim@uni.edu
INFO:students_handler:Create Student: 866621 - Rachel, Doe, London University. Rachel-Doe@uni.edu
INFO:students_handler:Create Student: 814747 - Dilshad, Abdulla, Anglia University. Dilshad-Abdulla@uni.edu
INFO:students_handler:Create Student: 805321 - John, Kim, London University. John-Kim@uni.edu
INFO:students_handler:Create Student: 866621 - Rachel, Doe, London University. Rachel-Doe@uni.edu
INFO:students_handler:Create Student: 814747 - Dilshad, Abdulla, Anglia University. Dilshad-Abdulla@uni.edu
INFO:students_handler:Create Student: 805321 - John, Kim, London University. John-Kim@uni.edu
INFO:students_handler:Create Student: 866621 - Rachel, Doe, London University. Rachel-Doe@uni.edu
INFO:students_handler:Create Student: 814747 - Dilshad, Abdulla, Anglia University. Dilshad-Abdulla@uni.edu
INFO:students_handler:Create Student: 805321 - John, Kim, London University. John-Kim@uni.edu
INFO:students_handler:Create Student: 866621 - Rachel, Doe, London University. Rachel-Doe@uni.edu
INFO:students_handler:Create Student: 814747 - Dilshad, Abdulla, Anglia University. Dilshad-Abdulla@uni.edu
INFO:students_handler:Create Student: 805321 - John, Kim, London University. John-Kim@uni.edu
INFO:students_handler:Create Student: 866621 - Rachel, Doe, London University. Rachel-Doe@uni.edu
INFO:students_handler:Create Student: 814747 - Dilshad, Abdulla, Anglia University. Dilshad-Abdulla@uni.edu
INFO:students_handler:Create Student: 805321 - John, Kim, London University. John-Kim@uni.edu
INFO:students_handler:Create Student: 866621 - Rachel, Doe, London University. Rachel-Doe@uni.edu
